portfolioID,purpose,name,bank,market,currency,portfolioValue,holdingName,symbol,category,holdingCurrency,quantity,price,averageCost,holdingValue,region,sector,accountNumber,note,colorIndex,accountID,holdingID,holdingsFrom,availability
hsbc-sg-current,account,HSBC Current Account,HSBC,Singapore,SGD,,Singapore dollar balance,SGD,Cash and FX,SGD,62800,1,1,,Singapore,Cash,001-223344-001,Everyday banking and multi-currency balances,0,10000000-0000-4000-8000-000000000001,20000000-0000-4000-8000-000000000001,,initial
hsbc-sg-current,,,,,,,US dollar balance,USD,Cash and FX,USD,14800,1,1,,United States,Cash,,,,,20000000-0000-4000-8000-000000000002,,
hsbc-sg-current,,,,,,,Hong Kong dollar balance,HKD,Cash and FX,HKD,42500,1,1,,Hong Kong,Cash,,,,,20000000-0000-4000-8000-000000000003,,
hsbc-sg-current,,,,,,,Renminbi balance,CNY,Cash and FX,CNY,38600,1,1,,Mainland China,Cash,,,,,20000000-0000-4000-8000-000000000004,,
hsbc-sg-equity,account,(068) Equity Investment Account,HSBC,Singapore,USD,,NVIDIA,NVDA,Stocks,USD,180,128.5,104,,United States,Technology,068-981234-001,Global equities and exchange-traded funds,1,10000000-0000-4000-8000-000000000002,20000000-0000-4000-8000-000000000005,,initial
hsbc-sg-equity,,,,,,,Apple,AAPL,Stocks,USD,120,226.8,205,,United States,Technology,,,,,20000000-0000-4000-8000-000000000006,,
hsbc-sg-equity,,,,,,,Vanguard S&P 500 ETF,VOO,Unit trusts,USD,80,518.2,476,,United States,Multi-sector,,,,,20000000-0000-4000-8000-000000000007,,
hsbc-sg-equity,,,,,,,DBS Group,D05,Stocks,SGD,500,43.2,38.6,,Singapore,Financials,,,,,20000000-0000-4000-8000-000000000008,,
hsbc-sg-equity,,,,,,,Singapore Airlines,C6L,Stocks,SGD,2400,6.48,6.75,,Singapore,Industrials,,,,,20000000-0000-4000-8000-000000000009,,
hsbc-sg-equity,,,,,,,US dollar balance,USD,Cash and FX,USD,8250,1,1,,United States,Cash,,,,,20000000-0000-4000-8000-000000000010,,
hsbc-sg-unit-trust,account,(085) Unit Trust Investment Account,HSBC,Singapore,SGD,,Global Income Fund,GIF-SG,Unit trusts,SGD,26000,1.32,1.18,,Global,Fixed income,085-981234-001,Diversified funds across regions and investment styles,2,10000000-0000-4000-8000-000000000003,20000000-0000-4000-8000-000000000011,,linkable
hsbc-sg-unit-trust,,,,,,,Asia Growth Fund,AGF,Unit trusts,USD,2800,17.85,16.5,,Mainland China,Multi-sector,,,,,20000000-0000-4000-8000-000000000012,,
hsbc-sg-unit-trust,,,,,,,European Equity Fund,EEF,Unit trusts,USD,1600,25.8,23.1,,Europe,Multi-sector,,,,,20000000-0000-4000-8000-000000000013,,
hsbc-sg-unit-trust,,,,,,,Global Healthcare Fund,GHCF,Unit trusts,USD,1300,19.7,21.4,,United States,Healthcare,,,,,20000000-0000-4000-8000-000000000014,,
hsbc-sg-unit-trust,,,,,,,Japan Opportunities Fund,JOF,Unit trusts,SGD,3800,8.62,7.9,,Japan,Multi-sector,,,,,20000000-0000-4000-8000-000000000015,,
dbs-sg,account,DBS Account,DBS,Singapore,SGD,,Singapore Government Bond,SGS,Bonds,SGD,85000,1.058,1,,Singapore,Government,029-001234-5,"Income, protection and capital preservation",3,10000000-0000-4000-8000-000000000004,20000000-0000-4000-8000-000000000016,,linkable
dbs-sg,,,,,,,Global Income Fund,GIF,Unit trusts,SGD,42000,1.25,1.18,,Global,Fixed income,,,,,20000000-0000-4000-8000-000000000017,,
